country,year,consumption_index
Ireland,2012,50.5664375
Ireland,2013,51.493125
Ireland,2014,56.4915625
Ireland,2015,69.8783125
Ireland,2016,74.0725
Ireland,2017,79.840625
Ireland,2018,83.3348125
Ireland,2019,98.2491875
Ireland,2020,100.0
Ireland,2021,104.258
Ireland,2022,113.3725625
Ireland,2023,113.7303125
Ireland,2024,113.57118750000001
Ireland,2025,125.7009375
Italy,2010,109.2015
Italy,2011,109.818
Italy,2012,105.3551875
Italy,2013,103.2371875
Italy,2014,103.5489375
Italy,2015,104.752
Italy,2016,106.4783125
Italy,2017,108.578375
Italy,2018,109.516875
Italy,2019,109.757875
Italy,2020,100.0
Italy,2021,109.241375
Italy,2022,115.4566875
Italy,2023,116.2506875
Italy,2024,116.6285625
Italy,2025,117.8040625
Latvia,2010,76.150125
Latvia,2011,80.643375
Latvia,2012,85.7381875
Latvia,2013,87.058375
Latvia,2014,88.462625
Latvia,2015,91.15075
Latvia,2016,93.6004375
Latvia,2017,97.231875
Latvia,2018,101.4859375
Latvia,2019,103.099
Latvia,2020,100.0
Latvia,2021,108.447625
Latvia,2022,111.773375
Latvia,2023,110.485375
Latvia,2024,109.4410625
Latvia,2025,113.143125
Lithuania,2010,69.3974375
Lithuania,2011,74.270625
Lithuania,2012,76.782
Lithuania,2013,79.8220625
Lithuania,2014,82.354125
Lithuania,2015,86.3505625
Lithuania,2016,88.5986875
Lithuania,2017,92.9009375
Lithuania,2018,97.378
Lithuania,2019,101.32962500000001
Lithuania,2020,100.0000625
Lithuania,2021,107.8461875
Lithuania,2022,111.913
Lithuania,2023,111.44925
Lithuania,2024,114.720625
Lithuania,2025,119.59475
Luxembourg,2010,78.4875
Luxembourg,2011,80.333625
Luxembourg,2012,81.659375
Luxembourg,2013,84.2303125
Luxembourg,2014,87.3553125
Luxembourg,2015,90.272875
Luxembourg,2016,93.735375
Luxembourg,2017,95.530875
Luxembourg,2018,97.0010625
Luxembourg,2019,100.8383125
Luxembourg,2020,100.0
Luxembourg,2021,108.80918750000001
Luxembourg,2022,108.50075
Luxembourg,2023,108.9048125
Luxembourg,2024,107.23075
Luxembourg,2025,108.411375
Malta,2010,58.7751875
Malta,2011,59.069375
Malta,2012,61.89625
Malta,2013,64.5493125
Malta,2014,68.6938125
Malta,2015,77.7254375
Malta,2016,80.7485
Malta,2017,89.1189375
Malta,2018,97.0549375
Malta,2019,102.795125
Malta,2020,100.000125
Malta,2021,111.8055625
Malta,2022,119.30025
Malta,2023,126.8749375
Malta,2024,133.86175
Malta,2025,139.057375
Netherlands,2010,88.0495625
Netherlands,2011,89.68243749999999
Netherlands,2012,88.91675000000001
Netherlands,2013,89.1851875
Netherlands,2014,90.5464375
Netherlands,2015,94.584875
Netherlands,2016,95.5968125
Netherlands,2017,98.74368750000001
Netherlands,2018,101.34325
Netherlands,2019,104.148875
Netherlands,2020,100.0000625
Netherlands,2021,106.2904375
Netherlands,2022,111.73225
Netherlands,2023,110.4924375
Netherlands,2024,111.6431875
Netherlands,2025,113.718125
Poland,2010,72.66575
Poland,2011,76.360125
Poland,2012,77.1065
Poland,2013,77.312125
Poland,2014,80.969875
Poland,2015,84.5005625
Poland,2016,87.324625
Poland,2017,92.234375
Poland,2018,98.2315625
Poland,2019,102.3051875
Poland,2020,100.0
Poland,2021,107.8408125
Poland,2022,113.8838125
Poland,2023,113.1785625
Poland,2024,116.8886875
Poland,2025,121.631
Portugal,2010,101.1861875
Portugal,2011,98.3198125
Portugal,2012,93.6595
Portugal,2013,92.9483125
Portugal,2014,94.2451875
Portugal,2015,96.236625
Portugal,2016,98.3563125
Portugal,2017,101.823625
Portugal,2018,105.0029375
Portugal,2019,108.1905
Portugal,2020,100.0000625
Portugal,2021,106.0188125
Portugal,2022,113.1605
Portugal,2023,116.3486875
Portugal,2024,119.306625
Portugal,2025,122.25675
Romania,2010,71.648375
Romania,2011,74.9963125
Romania,2012,76.0166875
Romania,2013,76.004
Romania,2014,79.42025
Romania,2015,82.439875
Romania,2016,85.6405
Romania,2017,93.2425625
Romania,2018,98.7690625
Romania,2019,103.3906875
Romania,2020,99.9999375
Romania,2021,106.4126875
Romania,2022,111.160125
Romania,2023,113.1423125
Romania,2024,114.982
Romania,2025,116.2595
Slovakia,2010,81.7591875
Slovakia,2011,83.6179375
Slovakia,2012,83.8895625
Slovakia,2013,84.65056249999999
Slovakia,2014,87.2634375
Slovakia,2015,92.52793750000001
Slovakia,2016,94.59675
Slovakia,2017,97.390375
Slovakia,2018,101.266625
Slovakia,2019,103.69987499999999
Slovakia,2020,100.0
Slovakia,2021,106.338875
Slovakia,2022,107.6019375
Slovakia,2023,107.307125
Slovakia,2024,109.825125
Slovakia,2025,110.9214375
Slovenia,2010,86.768125
Slovenia,2011,87.535375
Slovenia,2012,84.5205
Slovenia,2013,83.9526875
Slovenia,2014,86.042375
Slovenia,2015,88.14750000000001
Slovenia,2016,91.2240625
Slovenia,2017,96.4050625
Slovenia,2018,101.1165625
Slovenia,2019,104.6525
Slovenia,2020,99.9999375
Slovenia,2021,109.6179375
Slovenia,2022,114.01475
Slovenia,2023,115.3319375
Slovenia,2024,117.80575
Slovenia,2025,119.722375
Spain,2010,101.7424375
Spain,2011,100.60543750000001
Spain,2012,97.0673125
Spain,2013,95.4235
Spain,2014,97.183125
Spain,2015,101.112375
Spain,2016,103.745125
Spain,2017,107.0673125
Spain,2018,109.94081249999999
Spain,2019,111.997
Spain,2020,100.0000625
Spain,2021,107.1403125
Spain,2022,113.604375
Spain,2023,116.0056875
Spain,2024,120.0906875
Spain,2025,124.09725
Sweden,2010,83.6285
Sweden,2011,86.60725000000001
Sweden,2012,86.6134375
Sweden,2013,87.6480625
Sweden,2014,90.2736875
Sweden,2015,94.063125
Sweden,2016,96.2271875
Sweden,2017,98.6304375
Sweden,2018,100.6421875
Sweden,2019,102.6873125
Sweden,2020,99.9999375
Sweden,2021,105.7580625
Sweden,2022,108.2855625
Sweden,2023,107.9510625
Sweden,2024,109.1381875
Sweden,2025,111.389
